"SubjectID","Memory_style1","Memory_style2","Memory_style3","A-B Scale Style1","A-B Scale Style2","A-B Scale Style3","Digit span","Digit span weighted"
"sub-01",0.704861,0.722222,0.625,-0.0239848883248968,-0.575445050165924,-0.0406439906456473,5,10.0
"sub-02",0.402778,0.583333,0.631944,-0.0326872586856638,-0.482913913395502,-0.0794882982545986,7,25.0
"sub-03",0.236111,0.270833,0.25,0.0253454497621956,0.128869717640978,0.0763109665197085,0,0.0
"sub-04",0.579861,0.611111,0.708333,-0.0304489032651741,-0.450496947853443,-0.0926146329094516,7,21.5
"sub-05",0.336806,0.388889,0.236111,0.0286060905311666,-0.616300499059502,-0.0787041128281054,0,0.0
"sub-06",0.440972,0.333333,0.513889,-0.0249491602954504,-0.568085320113582,-0.0325673000053665,4,7.0
"sub-07",0.5625,0.701389,0.590278,-0.0330070830754377,-0.525502866149178,-0.0515301938939045,6,16.0
"sub-09",0.28125,0.305556,0.402778,-0.0283469238858306,-0.43172369409405,-0.0610649482830667,4,3.5
"sub-10",0.739583,0.722222,0.6875,-0.023308423847616,-0.522866537581266,-0.0592002585364381,5,15.5
"sub-11",0.413194,0.340278,0.506944,0.0271196803821286,-0.534207361262587,0.0498478350087304,7,25.0
"sub-12",0.361111,0.75,0.472222,-0.0124848839261276,-0.585065282589718,-0.0643331976423921,3,1.5
"sub-13",0.75,0.465278,0.395833,-0.0234220896632005,-0.486584981273827,-0.069642108214312,6,18.0
"sub-15",0.597222,0.590278,0.458333,-0.0497903222630846,-0.584543444962587,-0.0494752717195942,7,22.0
"sub-16",0.496528,0.340278,0.291667,-0.021388852046003,-0.545932782939906,-0.0666110692165962,4,7.0
"sub-17",0.524306,0.409722,0.3125,-0.0262667434787926,-0.596213644253811,-0.0422549303231869,5,11.0
"sub-18",0.517361,0.534722,0.479167,-0.024581312116843,-0.427057052890155,-0.0322662607912951,6,15.0
"sub-19",0.513889,0.305556,0.409722,-0.0214541504652889,-0.472296028163795,-0.034819026184773,7,17.5
"sub-21",0.496528,0.576389,0.548611,-0.0186576802372701,-0.37310924668275,-0.05207606392345,4,5.0
"sub-22",0.559028,0.4375,0.423611,-0.0334817562442246,-0.433591782048016,-0.0475615394397793,5,15.5
"sub-23",0.506944,0.493056,0.5625,-0.0379253498695728,-0.402127326855885,-0.0382433238803846,6,13.5
"sub-24",0.520833,0.597222,0.652778,-0.0249396121091105,-0.453651221411702,-0.0411788189288414,7,21.5
"sub-25",0.53125,0.631944,0.5,-0.0220213186905278,-0.446992547721913,-0.0551325952016373,7,17.0
"sub-26",0.802083,0.5,0.368056,-0.0201054927349796,-0.396405475380527,-0.0530258732435154,6,12.5
"sub-27",0.5625,0.548611,0.368056,-0.0229142014772412,-0.466807631456119,-0.0341709384685819,6,18.0
"sub-28",0.458333,0.236111,0.395833,-0.0314985231972613,-0.440230665200729,-0.0770103650207944,5,6.0
"sub-29",0.743056,0.5625,0.541667,-0.0228209585894424,-0.427893243759864,-0.0529202721179622,6,10.5
"sub-30",0.427083,0.416667,0.208333,-0.0263823586820726,-0.593426021049203,-0.0597975101370941,7,21.5
"sub-31",0.381944,0.534722,0.423611,-0.0277705058401737,-0.444104633851389,-0.0339997788450459,5,11.5
"sub-32",0.770833,0.666667,0.743056,-0.0384294378723932,-0.454289189022667,-0.048991757565894,3,6.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
